league_id,season,draft_id,team_count,draft_rounds,qb_start_slots,superflex_slots,te_start_slots,scoring_type,keeper_pick_count,complete_pick_board,reception_points,passing_td_points,te_premium,primary_sample,exclusion_reason
1254592658110693376,2025,1254588859753189376,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1254604641203662848,2025,1254604641207848960,12,16,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1254666476367904769,2025,1254666477882064896,12,16,1,1,1,2qb,0,True,1.0,6.0,0.5,False,not_1qb;non_redraft_or_idp;te_premium
1254688187775729664,2025,1254688190636244992,12,17,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1254881327912603648,2025,1254881331888795648,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1254890720792162304,2025,1254890720800550912,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1254928154359762944,2025,1254928156213653504,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1254942810029686784,2025,1254942818539945984,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1254951990933331968,2025,1254951990941720576,12,16,1,1,1,2qb,0,True,1.0,6.0,0.0,False,not_1qb;non_redraft_or_idp
1255030142430879744,2025,1255030145232674816,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1255036424130936833,2025,1255036429315084288,12,17,1,1,1,2qb,0,True,1.0,6.0,0.5,False,not_1qb;non_redraft_or_idp;te_premium
1255040363647737856,2025,1255040364570488832,12,16,1,0,1,ppr,0,True,1.0,6.0,0.0,True,eligible
1255056049296134144,2025,1255056049308708864,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1255208584719912960,2025,1255208585797832704,12,26,1,1,1,dynasty_2qb,0,True,1.0,6.0,0.0,False,not_1qb;non_redraft_or_idp
1255286154899496960,2025,1255286159764901889,12,19,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1255286216937459712,2025,1255286216945840128,12,21,1,1,1,2qb,0,True,1.0,6.0,0.0,False,not_1qb;non_redraft_or_idp
1255324151602757632,2025,1255324151611142144,12,17,1,0,1,half_ppr,19,True,0.5,4.0,0.0,False,keeper_picks
1255340639399194624,2025,1255340639411777536,12,16,1,0,1,ppr,0,True,1.0,5.0,0.0,True,eligible
1255347364063870976,2025,1255347364072259584,12,16,1,0,1,half_ppr,0,True,0.5,4.0,0.0,True,eligible
1255372362631618560,2025,1255372363537588224,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1255550674322587648,2025,1255550685567524864,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1255577330185670656,2025,1255577330198257664,12,16,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1255628788083982336,2025,1255628789296136192,12,18,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
